Predicted Label,label,flare,timestamp,NOAA,HARP,TOTUSJH,SAVNCPP,ABSNJZH,TOTPOT,TOTUSJZ,TOTBSQ,USFLUX,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,AREA_ACR,MEANPOT,Mhis1d,SHRGT45,TOTFX,MEANSHR
Negative,Negative,N,2017-09-01T22:58:42.40Z,12673,7115,-0.53057520779554,-0.523918287928597,-0.461021701789301,-0.55595262415207,-0.184457538469278,-0.186072236504313,-0.612962858385291,0,0,0,0,0,0,0,2.50781811333948,0.574627993671637,0,2.04418497443615,0.357157123679973,1.41803877305832
Negative,Negative,N,2017-09-01T23:58:42.40Z,12673,7115,-0.530850422819965,-0.524110353911382,-0.434478946395656,-0.557184512577166,-0.173468212908996,-0.183932597428722,-0.612525825021866,0,0,0,0,0,0,0,2.63552876462874,0.532173227632407,0,2.02193433625122,0.340401260849993,1.51433217065366
Negative,Negative,N,2017-09-02T00:58:42.50Z,12673,7115,-0.534150011645411,-0.521736910582711,-0.493641109361183,-0.554188120161488,-0.202786183655155,-0.186794911818165,-0.60878252266179,0,0,0,0,0,0,0,2.47434177408856,0.595564590622491,0,2.07185458723439,0.33890262964723,1.31325404733117
Negative,Negative,N,2017-09-02T02:58:42.50Z,12673,7115,-0.523335856066094,-0.515929307332542,-0.474518361914863,-0.541379939949672,-0.192644782550469,-0.184995077269178,-0.603648367352034,0,0,0,0,0,0,0,2.31856673771576,0.434469108528425,0,2.01643325596196,0.337037056708321,1.30285661518925
Negative,Negative,N,2017-09-02T03:58:42.60Z,12673,7115,-0.529233035973524,-0.512518319103235,-0.480769994225151,-0.546982232420788,-0.185339155287349,-0.18307137275961,-0.592377662528436,0,0,0,0,0,0,0,2.3234103245178,0.624061625361152,0,2.03827336576709,0.336947893295799,1.33286224816402
Negative,Negative,N,2017-09-02T04:58:42.60Z,12673,7115,-0.522750525561248,-0.512066543067294,-0.466521539327924,-0.529658394038415,-0.162905657273385,-0.186817969862775,-0.595490383266322,0,0,0,0,0,0,0,2.30638173911136,0.497278899380985,0,1.99245839858188,0.323971187411918,1.45339059363628
Negative,Negative,N,2017-09-02T05:58:42.60Z,12673,7115,-0.513664441131674,-0.513530101687709,-0.429323964036858,-0.533350363802408,-0.122935284591683,-0.196176352087553,-0.590104110471898,0,0,0,0,0,0,0,2.46136654541919,0.545549386795452,0,1.85041557917254,0.279530084994049,1.77495433703384
Negative,Negative,N,2017-09-02T10:58:42.50Z,12673,7115,-0.529912099131617,-0.533571168732205,-0.377214542369144,-0.543104819846917,-0.17517529260768,-0.199370595072664,-0.598124525975264,0,0,0,0,0,0,0,2.512913476913,-0.441960102719794,0,2.07054089641904,0.265833213085956,1.53192400838688
Negative,Negative,N,2017-09-02T11:58:42.50Z,12673,7115,-0.536684781906603,-0.533254464951673,-0.354334333127584,-0.536058608990117,-0.185524463280956,-0.199526337417582,-0.589648163855075,0,0,0,0,0,0,0,2.2881540979912,-0.176181635871462,0,2.12588012201551,0.270329106694246,1.38950647716728
Negative,Negative,N,2017-09-02T15:58:42.30Z,12673,7115,-0.459264601792844,-0.49664448660243,-0.317042066757186,-0.446440714968015,-0.296445335939237,-0.164733826005933,-0.554272583383691,0,0,0,0,0,0,0,1.89774803898272,0.339091277974538,0,2.15822975834342,0.205095782348793,0.661862641776378
Negative,Negative,N,2017-09-02T16:58:42.30Z,12673,7115,-0.469905252248067,-0.48211849818464,-0.225023895774282,-0.459224207111314,-0.261203124791393,-0.164417649272135,-0.5449503862197,0,0,0,0,0,0,0,1.6938387681475,0.336764989424443,0,2.10453264626613,0.216738466406874,0.755631106221669
Negative,Negative,N,2017-09-02T17:58:42.30Z,12673,7115,-0.449339909263482,-0.480808937766984,-0.311668404146089,-0.457568977336682,-0.329261696988951,-0.170872125489213,-0.536631512799475,0,0,0,0,0,0,0,1.6230620741262,-0.03602275072825,0,2.19649100334039,0.227023123105014,0.494197157294883
